2024-12-25 12:34:16,981 - ERROR - Starting the PLC data reader script.
2024-12-25 12:34:21,519 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:21,548 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,555 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:21,555 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:21,576 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,591 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:21,612 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,650 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,707 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,732 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,772 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,795 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,838 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,853 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:21,856 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,863 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,898 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,921 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,925 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,926 - ERROR - Generic message '_read_template(instance_id=1569, object_definition_size=495)' failed: Insufficient Packet Space
2024-12-25 12:34:21,938 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,941 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,945 - ERROR - Generic message '_read_template(instance_id=1569, object_definition_size=495)' failed: Insufficient Packet Space
2024-12-25 12:34:21,972 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,981 - ERROR - Generic message '_read_template(instance_id=1569, object_definition_size=495)' failed: Insufficient Packet Space
2024-12-25 12:34:21,987 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
